method,benchmark,score,source_or_error
Self-Selector,amber,67.04745358186838,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector/T20250824_G3e3672d7/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector_AMBER.xlsx
Sample-and-Rank,ocrbench,70.2,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_temp_confidence/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector/T20251115_Gfa2ed00a/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector_OCRBench.xlsx
Sample-and-Rank,gqa,0.0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_temp_confidence/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector/T20251115_Gfa2ed00a/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector_GQA_TestDev_Balanced.xlsx
Sample-and-Rank,textvqa,69.51,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_temp_confidence/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector/T20251115_Gfa2ed00a/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector_TextVQA_VAL.xlsx
Sample-and-Rank,chartqa,72.5,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_temp_confidence/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector/T20251115_Gfa2ed00a/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector_ChartQA_TEST.xlsx
Sample-and-Rank,ocrvqa,0.0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_temp_confidence/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector/T20251115_Gfa2ed00a/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector_OCRVQA_TEST.xlsx
Sample-and-Rank,ai2d,0.691,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_temp_confidence/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector/T20251115_Gfa2ed00a/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector_AI2D_TEST.xlsx
Sample-and-Rank,mme_rw,0.276,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_temp_confidence/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector/T20251115_Gfa2ed00a/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector_MME-RealWorld-Lite.xlsx
Sample-and-Rank,coco,6.158786469718133,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_temp_confidence/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector/T20251115_Gfa2ed00a/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector_COCO_VAL.xlsx
Sample-and-Rank,amber,53.48251880612485,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_temp_confidence/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector/T20251115_Gfa2ed00a/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureConfidenceSelector_AMBER.xlsx
Self-Synthesizer,ocrbench,71.1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_mllmsynthesizer/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer/T20250825_G60726ba8/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer_OCRBench.xlsx
Self-Synthesizer,gqa,0.0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_mllmsynthesizer/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer/T20250825_G60726ba8/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer_GQA_TestDev_Balanced.xlsx
Self-Synthesizer,textvqa,71.55999999999999,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_mllmsynthesizer/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer/T20250825_G60726ba8/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer_TextVQA_VAL.xlsx
Self-Synthesizer,chartqa,72.8,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_mllmsynthesizer/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer/T20250825_G60726ba8/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer_ChartQA_TEST.xlsx
Self-Synthesizer,ocrvqa,3.3000000000000003,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_mllmsynthesizer/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer/T20250825_G60726ba8/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer_OCRVQA_TEST.xlsx
Self-Synthesizer,ai2d,0.68,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_mllmsynthesizer/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer/T20250825_G60726ba8/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer_AI2D_TEST.xlsx
Self-Synthesizer,mme_rw,0.292,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_mllmsynthesizer/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer/T20250825_G60726ba8/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer_MME-RealWorld-Lite.xlsx
Self-Synthesizer,coco,29.500848637725756,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_mllmsynthesizer/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer/T20250825_G60726ba8/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer_COCO_VAL.xlsx
Self-Synthesizer,amber,75.77601581414933,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_mllmsynthesizer/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer/T20250825_G60726ba8/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelTemperatureMLLMSynthesizer_AMBER.xlsx
