benchmark	ablation	stem	key	status	reason	last_or_queue	cfg
gqa	frequency_only	test_config_smolvlm2_v91_nocf_ablation_frequency_only_gqa	abl200-frequency-only-gqa	NOT_DONE	CUDA_BUSY	abl200-frequency-only-gqa-r9-7715549.err	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_frequency_only_gqa.json
gqa	majority_vote	test_config_smolvlm2_v91_nocf_ablation_majority_vote_gqa	abl200-majority-vote-gqa	DONE		V91NoCFAbl_majority_vote_SmolVLM2_2B_GQA_TestDev_Balanced_acc.csv	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_majority_vote_gqa.json
gqa	no_format	test_config_smolvlm2_v91_nocf_ablation_no_format_gqa	abl200-no-format-gqa	DONE		V91NoCFAbl_no_format_SmolVLM2_2B_GQA_TestDev_Balanced_acc.csv	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_format_gqa.json
gqa	no_base_bias	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_gqa	abl200-no-base-bias-gqa	NOT_DONE	UNKNOWN	abl200-no-base-bias-gqa-r9-7715550.err	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_base_bias_gqa.json
gqa	no_length_risk	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_gqa	abl200-no-length-risk-gqa	NOT_DONE	CUDA_BUSY	abl200-no-length-risk-gqa-r9-7715551.err	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_length_risk_gqa.json
chartqa	frequency_only	test_config_smolvlm2_v91_nocf_ablation_frequency_only_chartqa	abl200-frequency-only-chartqa	NOT_DONE	CUDA_BUSY	abl200-frequency-only-chartqa-r8-7711174.err	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_frequency_only_chartqa.json
chartqa	majority_vote	test_config_smolvlm2_v91_nocf_ablation_majority_vote_chartqa	abl200-majority-vote-chartqa	NOT_DONE	CUDA_BUSY	abl200-majority-vote-chartqa-r8-7711191.err	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_majority_vote_chartqa.json
chartqa	no_format	test_config_smolvlm2_v91_nocf_ablation_no_format_chartqa	abl200-no-format-chartqa	NOT_DONE	CUDA_BUSY	abl200-no-format-chartqa-r9-7715552.err	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_format_chartqa.json
chartqa	no_base_bias	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_chartqa	abl200-no-base-bias-chartqa	DONE		V91NoCFAbl_no_base_bias_SmolVLM2_2B_ChartQA_TEST_acc.csv	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_base_bias_chartqa.json
chartqa	no_length_risk	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_chartqa	abl200-no-length-risk-chartqa	DONE		V91NoCFAbl_no_length_risk_SmolVLM2_2B_ChartQA_TEST_acc.csv	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_length_risk_chartqa.json
ocrbench	frequency_only	test_config_smolvlm2_v91_nocf_ablation_frequency_only_ocrbench	abl200-frequency-only-ocrbench	DONE		V91NoCFAbl_frequency_only_SmolVLM2_2B_OCRBench_score.json	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_frequency_only_ocrbench.json
ocrbench	majority_vote	test_config_smolvlm2_v91_nocf_ablation_majority_vote_ocrbench	abl200-majority-vote-ocrbench	NOT_DONE	UNKNOWN	abl200-majority-vote-ocrbench-r8-7711334.err	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_majority_vote_ocrbench.json
ocrbench	no_format	test_config_smolvlm2_v91_nocf_ablation_no_format_ocrbench	abl200-no-format-ocrbench	DONE		V91NoCFAbl_no_format_SmolVLM2_2B_OCRBench_score.json	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_format_ocrbench.json
ocrbench	no_base_bias	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_ocrbench	abl200-no-base-bias-ocrbench	NOT_DONE	CUDA_BUSY	abl200-no-base-bias-ocrbench-r8-7711609.err	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_base_bias_ocrbench.json
ocrbench	no_length_risk	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_ocrbench	abl200-no-length-risk-ocrbench	NOT_DONE	CUDA_BUSY	abl200-no-length-risk-ocrbench-r8-7711610.err	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_length_risk_ocrbench.json
